codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
249,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 47.381,00",32000,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 12:19",1,G
249,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 155.617,00",32000,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 12:19",1,G
249,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
250,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 47.171,00",32000,Gasolina,janeiro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:19",1,G
250,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 156.496,00",32000,Gasolina,janeiro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:19",1,G
250,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
251,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 47.023,00",32000,Gasolina,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:19",1,G
251,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 50.251,00",32000,Gasolina,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:21",1,G
251,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 159.000,00",32000,Gasolina,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:21",1,G
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
252,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 46.892,00",32000,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 12:22",1,G
252,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 50.251,00",32000,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 12:22",1,G
252,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 162.817,00",32000,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 12:22",1,G
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
253,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 47.529,00",32000,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 12:22",1,G
253,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 49.765,00",32000,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 12:22",1,G
253,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 164.837,00",32000,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 12:22",1,G
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
