codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
314,BMW,7,iX 1 eDrive20 X-Line Aut. (Elétrico),11103,32000 Gasolina,32000-1,009318-1,BMW,iX 1 eDrive20 X-Line Aut. (Elétrico),"R$ 362.417,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:01",1,G
314,BMW,7,iX 2 xDrive 30 M Sport (Elétrico),11104,32000 Gasolina,32000-1,009319-0,BMW,iX 2 xDrive 30 M Sport (Elétrico),"R$ 446.196,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:01",1,G
314,BMW,7,X3 XDRIVE 30e X-Line Turbo Aut. (Híb.),10078,32000 Gasolina,32000-1,009272-0,BMW,X3 XDRIVE 30e X-Line Turbo Aut. (Híb.),"R$ 435.594,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:01",1,G
314,BYD,238,Dolphin EV (Elétrico),10813,32000 Gasolina,32000-1,095007-6,BYD,Dolphin EV (Elétrico),"R$ 147.800,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,BYD,238,Dolphin Mini (Elétrico),10986,32000 Gasolina,32000-1,095010-6,BYD,Dolphin Mini (Elétrico),"R$ 117.280,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,BYD,238,King GL 1.5 16V Aut. (Hibrido),11078,32000 Gasolina,32000-1,095012-2,BYD,King GL 1.5 16V Aut. (Hibrido),"R$ 175.940,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,BYD,238,Seal (Elétrico),10833,32000 Gasolina,32000-1,095008-4,BYD,Seal (Elétrico),"R$ 299.774,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,BYD,238,Song Plus 1.5 16V Aut. (Hibrido),11084,32000 Gasolina,32000-1,095005-0,BYD,Song Plus 1.5 16V Aut. (Hibrido),"R$ 237.521,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,BYD,238,Yuan Plus (Elétrico),10184,32000 Gasolina,32000-1,095006-8,BYD,Yuan Plus (Elétrico),"R$ 236.240,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 82.325,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
