codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
249,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 47.381,00",32000,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,G
249,Fiat,21,ARGO 1.0 6V Flex.,8315,2020 Gasolina,2020-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 41.850,00",2020,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,G
249,Fiat,21,ARGO 1.0 6V Flex.,8315,2019 Gasolina,2019-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 40.371,00",2019,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,G
249,Fiat,21,ARGO 1.0 6V Flex.,8315,2018 Gasolina,2018-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 38.695,00",2018,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,G
249,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 155.617,00",32000,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,G
249,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,2020 Gasolina,2020-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 126.738,00",2020,Gasolina,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,G
249,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 144.643,00",32000,Diesel,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,D
249,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2020 Diesel,2020-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 126.333,00",2020,Diesel,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,D
249,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2019 Diesel,2019-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 121.010,00",2019,Diesel,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,D
249,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2018 Diesel,2018-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 113.413,00",2018,Diesel,dezembro de 2019 ,"quarta-feira, 9 de outubro de 2024 15:01",1,D
